"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","slider_start","character1","character2","name"
"pavlovia","0","435","0.0-0.0","","","","","","",""
"html-keyboard-response","1","1287","0.0-1.0","851","<p style=""font-size: 15px;"">Welcome to the experiment. Before beginning, we ask that you read the consent information and confirm your agreement to participate in the experiment.</p><p style=""font-size: 15px;"">We ask that you remember that this is a research project and that your participation is entirely voluntary. You can stop your participation at any time, without needing to provide any explanation. The study we're asking you to participate in aims at examining your perception of different letters. You will be engaged in a session of XX minutes, followed by a brief questionnaire. You will have the opportunity to take a few breaks during the experiment. While this experiment looks at cognitive faculties, this experiment doesn't constitute clinical proof of eventual pathologies.</p><p style=""font-size: 15px;"">All of the information collected thanks to yours and others' participation will be held in a secure password-protected server, and will not be shared with anyone not authorised to view it. Your personal information will be kept with an arbitrary participant ID. Thanks to this data anonymity process, any researcher analysing the data won't be able to track the information back to a specific participant. Therefore, this process will make identifying you impossibile, even when results from the study will be published in scientific reviews, presented at congresses, or at any other public forum. More generally, the collected data will be treated in accordance with the laws on privacy and conformity to the Legislative Degree n. 196 ""Code regarding the protection of personal data"" of the 30th of June 2003.</p><p style=""font-size: 15px;""> Before expressing your consent to participate, we would like to remind you again that in case you need explanations on any aspect of the experimental procedure, the researcher is at your disposition (aliebelt@sissa.it, davide.crepaldi@sissa.it).</p><p style=""font-size: 15px;"">Please press the spacebar to proceed to the consent form.</p>"," ","","","",""
"survey-html-form","2","7679","0.0-2.0","6390","","{""consent1"":""YES1"",""consent2"":""YES2"",""consent3"":""YES3"",""consent4"":""YES4"",""consent5"":""YES5"",""consent6"":""YES6""}","","","",""
"html-keyboard-response","3","8356","0.0-3.0","676","<p>Welcome, and thank you for your time!</p><p>In this experiment, you'll be asked to judge how similar two letters are to each other. You'll be asked to answer on a scale from 0 to 1 how similar they are, with <strong>0</strong> being <strong>very dissimilar</strong> and <strong>1</strong> being <strong>very similar</strong>. Please try to use the entire scale provided, not just the extremes.</p><p>Please press the spacebar to see an example.</p>"," ","","","",""
"html-keyboard-response","4","8925","0.0-4.0","568","<p>Here is an example of the characters you'll see:</p><img src='example.png' height='400px'><p>When you're ready to start, please press the spacebar.</p></div>"," ","","","",""
"html-slider-response","5","12867","0.0-5.0-0.0","3939","<div style=""width:500px;""><p style=""font-size: 30px"">How similar are these two characters?</p>
          <div style=""width:240px; float: left;"">
          <p style=""font-size: 80px; font-family: BACS"">C</p></div><div style=""width:240px; float: right;"">
          <p style=""font-size: 80px; font-family: BACS"">Y</p></div></div>","62","50","C","Y",""
"html-slider-response","6","16248","0.0-5.0-0.1","3377","<div style=""width:500px;""><p style=""font-size: 30px"">How similar are these two characters?</p>
          <div style=""width:240px; float: left;"">
          <p style=""font-size: 80px; font-family: BACS"">v</p></div><div style=""width:240px; float: right;"">
          <p style=""font-size: 80px; font-family: BACS"">h</p></div></div>","60","50","v","h",""
"html-keyboard-response","7","16953","0.0-6.0","704","<p>You've finished set 1/20 of characters! You may take a short break, and press the spacebar when you're ready to continue.</p>"," ","","","",""
"html-slider-response","8","18769","0.0-7.0-0.0","1809","<div style=""width:500px;""><p style=""font-size: 30px"">How similar are these two characters?</p>
          <div style=""width:240px; float: left;"">
          <p style=""font-size: 80px; font-family: BACS"">b</p></div><div style=""width:240px; float: right;"">
          <p style=""font-size: 80px; font-family: BACS"">v</p></div></div>","30","50","b","v",""
"html-slider-response","9","20632","0.0-7.0-0.1","1860","<div style=""width:500px;""><p style=""font-size: 30px"">How similar are these two characters?</p>
          <div style=""width:240px; float: left;"">
          <p style=""font-size: 80px; font-family: BACS"">v</p></div><div style=""width:240px; float: right;"">
          <p style=""font-size: 80px; font-family: BACS"">m</p></div></div>","56","50","v","m",""
"html-keyboard-response","10","21283","0.0-8.0","649","<p>You've finished set 2/20 of characters! You may take a short break, and press the spacebar when you're ready to continue.</p>"," ","","","",""
"html-slider-response","11","23633","0.0-9.0-0.0","2348","<div style=""width:500px;""><p style=""font-size: 30px"">How similar are these two characters?</p>
          <div style=""width:240px; float: left;"">
          <p style=""font-size: 80px; font-family: BACS"">A</p></div><div style=""width:240px; float: right;"">
          <p style=""font-size: 80px; font-family: BACS"">T</p></div></div>","37","50","A","T",""
"html-slider-response","12","25754","0.0-9.0-0.1","2118","<div style=""width:500px;""><p style=""font-size: 30px"">How similar are these two characters?</p>
          <div style=""width:240px; float: left;"">
          <p style=""font-size: 80px; font-family: BACS"">S</p></div><div style=""width:240px; float: right;"">
          <p style=""font-size: 80px; font-family: BACS"">r</p></div></div>","40","50","S","r",""
"html-keyboard-response","13","26363","0.0-10.0","608","<p>You've finished set 3/20 of characters! You may take a short break, and press the spacebar when you're ready to continue.</p>"," ","","","",""
"html-slider-response","14","28387","0.0-11.0-0.0","2022","<div style=""width:500px;""><p style=""font-size: 30px"">How similar are these two characters?</p>
          <div style=""width:240px; float: left;"">
          <p style=""font-size: 80px; font-family: BACS"">U</p></div><div style=""width:240px; float: right;"">
          <p style=""font-size: 80px; font-family: BACS"">i</p></div></div>","56","50","U","i",""
