,sbj_ID,Age,Sex,L1,AoAL1,ProfL1,L2,AoAL2,ProfL2,L3,AoAL3,ProfL3,L4,AoAL4,ProfL4,otherLs,set,trialn,character1,character2,response,rt
0,101,23,Female,English,0,6,French,0,5,German,13,3,Italian,22,2,No,,,,,,
0,102,31,Male,French,0,6,English,0,5,German,13,3,Italian,22,2,No,,,,,,
0,101,,,,,,,,,,,,,,,,1.0,1.0,d,O,73,3222.0
0,101,,,,,,,,,,,,,,,,1.0,2.0,v,S,29,2243.0
0,101,,,,,,,,,,,,,,,,1.0,3.0,y,D,28,2079.0
0,101,,,,,,,,,,,,,,,,1.0,4.0,Y,V,32,2456.0
0,101,,,,,,,,,,,,,,,,1.0,5.0,b,Z,10,5587.0
0,101,,,,,,,,,,,,,,,,1.0,6.0,r,N,74,2684.0
0,101,,,,,,,,,,,,,,,,1.0,7.0,a,F,21,2327.0
0,101,,,,,,,,,,,,,,,,1.0,8.0,g,J,30,2730.0
0,101,,,,,,,,,,,,,,,,1.0,9.0,u,N,65,2741.0
0,101,,,,,,,,,,,,,,,,1.0,10.0,l,R,25,2568.0
0,101,,,,,,,,,,,,,,,,1.0,11.0,l,g,36,2518.0
0,101,,,,,,,,,,,,,,,,1.0,12.0,t,T,72,2014.0
0,101,,,,,,,,,,,,,,,,1.0,13.0,o,a,28,2652.0
0,101,,,,,,,,,,,,,,,,1.0,14.0,l,J,70,4069.0
0,101,,,,,,,,,,,,,,,,1.0,15.0,r,T,72,2210.0
0,101,,,,,,,,,,,,,,,,1.0,16.0,g,l,22,1850.0
0,101,,,,,,,,,,,,,,,,1.0,17.0,o,c,21,3863.0
0,101,,,,,,,,,,,,,,,,1.0,18.0,b,Y,12,3192.0
0,101,,,,,,,,,,,,,,,,1.0,19.0,Y,J,69,2017.0
0,101,,,,,,,,,,,,,,,,1.0,20.0,V,k,32,2045.0
0,101,,,,,,,,,,,,,,,,1.0,21.0,g,B,21,1965.0
0,101,,,,,,,,,,,,,,,,1.0,22.0,g,F,15,1912.0
0,101,,,,,,,,,,,,,,,,1.0,23.0,y,r,6,2999.0
0,101,,,,,,,,,,,,,,,,1.0,24.0,k,E,32,2408.0
0,101,,,,,,,,,,,,,,,,1.0,25.0,c,d,82,3195.0
0,101,,,,,,,,,,,,,,,,1.0,26.0,d,T,0,2754.0
0,101,,,,,,,,,,,,,,,,1.0,27.0,a,O,28,2157.0
0,101,,,,,,,,,,,,,,,,1.0,28.0,t,i,34,4686.0
0,101,,,,,,,,,,,,,,,,1.0,29.0,a,N,27,2984.0
0,101,,,,,,,,,,,,,,,,1.0,30.0,t,Z,63,3446.0
0,101,,,,,,,,,,,,,,,,1.0,31.0,y,h,35,2458.0
0,101,,,,,,,,,,,,,,,,1.0,32.0,d,g,28,2502.0
0,101,,,,,,,,,,,,,,,,1.0,33.0,v,h,69,2902.0
0,101,,,,,,,,,,,,,,,,1.0,34.0,h,u,9,2645.0
0,101,,,,,,,,,,,,,,,,1.0,35.0,c,Y,71,4374.0
0,101,,,,,,,,,,,,,,,,1.0,36.0,U,o,25,3267.0
0,101,,,,,,,,,,,,,,,,1.0,37.0,t,t,100,3097.0
0,101,,,,,,,,,,,,,,,,1.0,38.0,v,k,27,3079.0
0,101,,,,,,,,,,,,,,,,1.0,39.0,Z,m,11,3067.0
0,101,,,,,,,,,,,,,,,,1.0,40.0,V,v,14,4207.0
0,101,,,,,,,,,,,,,,,,1.0,41.0,v,J,89,3017.0
0,101,,,,,,,,,,,,,,,,1.0,42.0,a,a,100,2828.0
0,101,,,,,,,,,,,,,,,,1.0,43.0,h,a,84,2515.0
0,101,,,,,,,,,,,,,,,,1.0,44.0,b,h,13,2741.0
0,101,,,,,,,,,,,,,,,,1.0,45.0,o,H,16,2777.0
0,101,,,,,,,,,,,,,,,,1.0,46.0,y,G,14,2602.0
0,101,,,,,,,,,,,,,,,,1.0,47.0,u,g,15,4041.0
0,101,,,,,,,,,,,,,,,,1.0,48.0,i,H,1,2711.0
0,101,,,,,,,,,,,,,,,,1.0,49.0,r,H,25,2918.0
0,101,,,,,,,,,,,,,,,,1.0,50.0,u,i,28,2635.0
0,101,,,,,,,,,,,,,,,,1.0,51.0,U,U,100,3077.0
0,101,,,,,,,,,,,,,,,,1.0,52.0,l,A,22,2921.0
0,101,,,,,,,,,,,,,,,,1.0,53.0,i,P,26,4525.0
0,101,,,,,,,,,,,,,,,,1.0,54.0,k,Z,28,3022.0
0,101,,,,,,,,,,,,,,,,1.0,55.0,a,A,16,3837.0
0,101,,,,,,,,,,,,,,,,1.0,56.0,c,c,100,3716.0
0,101,,,,,,,,,,,,,,,,1.0,57.0,g,h,20,3298.0
0,101,,,,,,,,,,,,,,,,1.0,58.0,m,g,15,2716.0
0,101,,,,,,,,,,,,,,,,1.0,59.0,l,S,22,3791.0
0,101,,,,,,,,,,,,,,,,1.0,60.0,h,y,20,2688.0
0,101,,,,,,,,,,,,,,,,1.0,61.0,t,U,20,2683.0
0,101,,,,,,,,,,,,,,,,1.0,62.0,k,i,77,3193.0
0,101,,,,,,,,,,,,,,,,1.0,63.0,d,E,18,3482.0
0,101,,,,,,,,,,,,,,,,1.0,64.0,U,V,25,2499.0
0,101,,,,,,,,,,,,,,,,1.0,65.0,y,d,88,2866.0
0,101,,,,,,,,,,,,,,,,1.0,66.0,b,T,18,2439.0
0,101,,,,,,,,,,,,,,,,1.0,67.0,V,L,27,2724.0
0,101,,,,,,,,,,,,,,,,1.0,68.0,Z,V,72,3136.0
0,101,,,,,,,,,,,,,,,,1.0,69.0,Z,R,67,3009.0
0,101,,,,,,,,,,,,,,,,1.0,70.0,U,I,25,3203.0
0,101,,,,,,,,,,,,,,,,1.0,71.0,k,J,22,2555.0
0,101,,,,,,,,,,,,,,,,1.0,72.0,h,F,31,4075.0
0,101,,,,,,,,,,,,,,,,1.0,73.0,a,J,25,2628.0
0,101,,,,,,,,,,,,,,,,1.0,74.0,k,Y,33,2646.0
0,101,,,,,,,,,,,,,,,,1.0,75.0,i,C,27,2731.0
0,101,,,,,,,,,,,,,,,,1.0,76.0,i,F,37,2746.0
0,101,,,,,,,,,,,,,,,,1.0,77.0,U,b,20,6156.0
0,101,,,,,,,,,,,,,,,,1.0,78.0,r,d,20,3412.0
0,101,,,,,,,,,,,,,,,,1.0,79.0,y,S,25,3224.0
0,101,,,,,,,,,,,,,,,,1.0,80.0,a,o,21,2721.0
0,101,,,,,,,,,,,,,,,,2.0,1.0,U,Q,70,3772.0
